SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
1	1	2	23	23749	5772	0.51145807281136512756	0	1	1037.9470979969482869	0	NaN	NaN	0	1	1	0	1	0
1	1	2	24	44086	5200	0.51150435907766222954	0	1	732.11070999968796968	0	NaN	NaN	0	1	1	0	1	0
1	1	2	25	27606	7984	0.51155065256170928478	0	1	678.81237899564439431	0	NaN	NaN	0	1	1	0	1	0
1	1	2	26	33365	9865	0.51159695617388933897	0	1	1041.1587869966751896	0	NaN	NaN	0	1	1	0	1	0
1	1	2	27	7265	7367	0.51164314651396125555	0	1	1011.2447470019105822	0	NaN	NaN	0	1	1	0	1	0
1	1	2	28	32626	436	0.51168943999800831079	1	1	849.6588530033477582	0	45	NaN	1	1	0	1	2	0
1	1	2	29	65973	3014	0.51173574093263596296	0	1	689.73710000136634335	0	NaN	NaN	0	1	1	0	1	0
1	1	2	30	14819	3569	0.51178203010931611061	0	1	676.59102500329026952	0	NaN	NaN	0	1	1	0	1	0
1	1	2	31	60124	6871	0.51187462080270051956	0	1	907.13756599870976061	0	NaN	NaN	0	1	1	0	1	0
1	1	2	32	42726	4263	0.51192091649863868952	0	1	837.8133180012810044	0	NaN	NaN	0	1	1	0	1	0
1	1	2	33	50103	3694	0.51196721079759299755	0	1	1328.9307559971348383	0	NaN	NaN	0	1	1	0	1	0
1	1	2	34	21684	5322	0.51201349752955138683	0	1	1390.3581659978954121	0	NaN	NaN	0	1	1	0	1	0
1	1	2	35	31969	4061	0.51205980533268302679	0	1	1002.1127629952388816	0	NaN	NaN	0	1	1	0	1	0
1	1	2	36	25261	7985	0.51210609206464141607	0	1	973.48004300147294998	0	NaN	NaN	0	1	1	0	1	0
1	1	2	37	11881	6041	0.5121523889247328043	0	1	1172.2963119973428547	0	NaN	NaN	0	1	1	0	1	0
1	1	2	38	13300	6142	0.51219867949839681387	0	0	1479.5980959970620461	0	NaN	NaN	0	0	0	1	2	0
1	1	2	39	68509	6843	0.51224497554358094931	0	1	841.88759099924936891	0	NaN	NaN	0	1	1	0	1	0
1	1	2	40	18657	7442	0.51229127030819654465	0	1	691.87816100020427257	0	NaN	NaN	0	1	1	0	1	0
1	1	2	41	38925	1108	0.51238385913893580437	0	1	802.11966299975756556	0	NaN	NaN	0	1	1	0	1	0
1	1	2	42	15722	9936	0.51243014447391033173	0	1	854.64904900436522439	0	NaN	NaN	0	1	1	0	1	0
1	1	2	43	15762	2757	0.51247644366230815649	0	1	839.35350099636707455	0	NaN	NaN	0	1	1	0	1	0
1	1	2	44	49171	9658	0.51252273994032293558	0	0	1445.3478700015693903	0	NaN	NaN	0	0	0	1	2	0
1	1	2	45	33484	5169	0.51256903528701514006	1	1	903.94789000129094347	0	41	NaN	1	1	0	1	2	0
1	1	2	46	26186	3376	0.5126153227174654603	0	1	809.67709299875423312	0	NaN	NaN	0	1	1	0	1	0
1	1	2	47	70469	7287	0.51266161969397217035	0	1	804.30037000041920692	0	NaN	NaN	0	1	1	0	1	0
1	1	2	48	4696	5363	0.51270790980197489262	0	1	1204.2965739965438843	0	NaN	NaN	0	1	1	0	1	0
1	1	2	49	205	5834	0.51275421248283237219	0	1	1262.3249309981474653	0	NaN	NaN	0	1	1	0	1	0
1	1	2	50	3391	6448	0.51280050876084715128	0	1	952.02777699887519702	0	NaN	NaN	0	1	1	0	1	0
1	1	2	51	69028	4186	0.51284680073149502277	0	1	1078.0740730042452924	0	NaN	NaN	0	1	1	0	1	0
1	1	2	52	19764	9715	0.51289308688137680292	0	1	1050.5718220010749064	0	NaN	NaN	0	1	1	0	1	0
1	1	2	53	44361	1430	0.51298557862173765898	0	1	803.08918000082485378	0	NaN	NaN	0	1	1	0	1	0
1	1	2	54	47126	9621	0.51303187420126050711	0	1	1003.2574700016994029	0	NaN	NaN	0	1	1	0	1	0
1	1	2	55	33467	7112	0.51307817385531961918	0	1	1069.2956049970234744	0	NaN	NaN	0	1	1	0	1	0
1	1	2	56	40934	9845	0.51312446070369333029	0	1	1235.5939370027044788	0	NaN	NaN	0	1	1	0	1	0
1	1	2	57	67445	7473	0.51317076338455080986	0	1	1766.9943310029339045	0	NaN	NaN	0	1	1	0	1	0
1	1	2	58	6432	60	0.51321705093141645193	0	1	1002.0540459954645485	0	NaN	NaN	0	1	1	0	1	0
1	1	2	59	15762	2757	0.51326335105113685131	1	1	934.87881500186631456	0	15	NaN	1	1	0	1	2	0
1	1	2	60	2020	2704	0.51330963720101863146	0	1	1278.2864790060557425	0	NaN	NaN	0	1	1	0	1	0
1	1	2	61	2294	8634	0.51335593592375516891	1	1	1174.834981000458356	0	104	NaN	1	1	0	1	2	0
1	1	2	62	25407	4900	0.51340222533326596022	0	1	2002.2295420058071613	0	NaN	NaN	0	1	1	0	1	0
1	1	3	1	4777	7336	0.51559788140002638102	0	1	938.23203999636461958	0	NaN	NaN	0	1	1	0	1	0
1	1	3	2	70336	970	0.51564417884219437838	0	0	1219.3957190029323101	0	NaN	NaN	0	0	0	1	2	0
1	1	3	3	27359	4229	0.51569046243093907833	0	1	767.72679699934087694	0	NaN	NaN	0	1	1	0	1	0
1	1	3	4	27814	3770	0.5157367681385949254	0	1	1022.3584819977986626	0	NaN	NaN	0	1	1	0	1	0
1	1	3	5	58521	3284	0.51578304904978722334	0	1	1304.0148639993276447	0	NaN	NaN	0	1	1	0	1	0
1	1	3	6	39391	6316	0.51582935964688658714	0	1	1273.5156150010880083	0	NaN	NaN	0	1	1	0	1	0
1	1	3	7	67100	1266	0.51587563508655875921	0	1	946.21685000311117619	0	NaN	NaN	0	1	1	0	1	0
1	1	3	8	36577	479	0.5159219417255371809	0	1	977.28175399970496073	0	NaN	NaN	0	1	1	0	1	0
1	1	3	9	70137	6277	0.51596823392901569605	0	1	829.6402440028032288	0	NaN	NaN	0	1	1	0	1	0
1	1	3	10	68100	9754	0.51601453847251832485	0	1	1169.5933669980149716	0	NaN	NaN	0	1	1	0	1	0
