SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA	people_count	animal_count	shared1000	interaction_type
1	21	7	29	45031	7620	150.60486547800247	0	0.0	1703.5768040223047	0.0			0	0.0	0	1	2.0	0	6	0	False	
1	21	9	38	45031	7620	150.61572590190917	1	1.0	639.5697660045697	0.0	133.0		1	1.0	0	1	2.0	0	6	0	False	
1	21	11	61	45031	7620	150.626112936181	1	1.0	713.4917500661686	0.0	147.0	281.0	1	1.0	0	1	2.0	0	6	0	False	
1	21	7	33	35457	7144	150.60505065554753	0	1.0	1523.2925741001964	0.0			0	1.0	1	0	1.0	0	1	0	False	
1	24	5	31	35457	7144	161.71631848916877	1	1.0	1769.9969240056816	0.0	2122.0		0	0.0	0	1	2.0	0	1	0	False	
1	39	7	35	35457	7144	260.66984123014845	1	1.0	901.8410959997709	0.0	11378.0	13501.0	0	0.0	0	1	2.0	0	1	0	False	
1	21	7	35	8647	100	150.60518953751307	0	1.0	1150.8629489690063	0.0			0	1.0	1	0	1.0	0	0	0	True	
1	21	10	15	8647	100	150.6192058683373	1	1.0	1223.703029914759	0.0	167.0		1	1.0	0	1	2.0	0	0	0	True	
1	24	12	14	8647	100	161.74838896375147	1	1.0	2567.8128139988985	1.0	2373.0	2541.0	0	0.0	2	1	2.0	0	0	0	True	
1	21	7	38	45621	4822	150.60532841878012	0	1.0	1562.4812800670043	0.0			0	1.0	1	0	1.0	0	2	0	False	
1	21	12	61	45621	4822	150.6306833078852	1	1.0	917.9954580031336	0.0	335.0		1	1.0	0	1	2.0	0	2	0	False	
1	22	1	50	45621	4822	154.68719887337647	1	1.0	789.5481360028499	0.0	50.0	386.0	0	0.0	0	1	2.0	0	2	0	False	
1	21	7	40	66330	5645	150.60542100737803	0	1.0	730.9944130247459	0.0			0	1.0	1	0	1.0	0	1	0	False	
1	31	12	27	66330	5645	217.77862989902496	1	1.0	1914.3900679991928	0.0	7799.0		0	0.0	0	1	2.0	0	1	0	False	
1	32	3	15	66330	5645	224.71607376472093	1	0.0	1578.4803440001267	0.0	174.0	7974.0	0	1.0	1	0	1.0	0	1	0	False	
1	21	7	46	64616	883	150.60574496688787	0	0.0	2589.4455419620494	1.0			0	0.0	1	1	2.0	0	1	1	True	
1	21	8	2	64616	883	150.60847051045857	1	1.0	687.0448719710112	0.0	18.0		1	1.0	0	1	2.0	0	1	1	True	
1	37	7	20	64616	883	246.70327855413777	1	1.0	1035.9409369993955	0.0	11954.0	11973.0	0	0.0	0	1	2.0	0	1	1	True	
1	21	7	49	69611	3555	150.60588384931907	0	1.0	722.5347450003029	0.0			0	1.0	1	0	1.0	0	0	0	False	
1	21	11	9	69611	3555	150.6234743654495	1	1.0	708.4278200054541	0.0	209.0		1	1.0	0	1	2.0	0	0	0	False	
1	22	2	5	69611	3555	154.68943313672207	1	1.0	740.9399030002531	0.0	183.0	393.0	0	0.0	0	1	2.0	0	0	0	False	
1	21	7	51	41249	8976	150.60597643989604	0	1.0	811.8607569485903	0.0			0	1.0	1	0	1.0	0	14	0	False	
1	21	8	4	41249	8976	150.60856309451628	1	1.0	753.797525074333	0.0	15.0		1	1.0	0	1	2.0	0	14	0	False	
1	40	7	7	41249	8976	262.6029572092229	1	1.0	1930.7420489931249	0.0	14189.0	14205.0	0	0.0	0	1	2.0	0	14	0	False	
1	21	7	52	27072	5551	150.60602273361292	0	1.0	2169.023471069522	1.0			0	1.0	1	1	1.0	0	13	0	False	
1	22	4	28	27072	5551	154.69954628078267	1	1.0	1266.830195003422	0.0	538.0		0	0.0	0	1	2.0	0	13	0	False	
1	22	6	22	27072	5551	154.709178567864	1	1.0	724.9556139868217	0.0	118.0	657.0	1	1.0	0	1	2.0	0	13	0	False	
1	21	7	55	22374	7906	150.60620790708344	0	1.0	1419.0453990595415	0.0			0	1.0	1	0	1.0	0	0	0	False	
1	21	9	37	22374	7906	150.6156796045834	1	1.0	887.0768549386413	0.0	106.0		1	1.0	0	1	2.0	0	0	0	False	
1	22	2	53	22374	7906	154.69184023258276	1	1.0	1041.3672959984979	0.0	328.0	435.0	0	0.0	0	1	2.0	0	0	0	False	
1	21	7	56	5193	6668	150.60625420475844	0	1.0	1342.234059004113	0.0			0	1.0	1	0	1.0	0	11	0	False	
1	27	5	58	5193	6668	196.7174236761639	1	0.0	2252.808753000864	0.0	4376.0		0	1.0	1	0	1.0	0	11	0	False	
1	27	9	58	5193	6668	196.7365951562533	1	1.0	1405.7774409993726	0.0	249.0	4626.0	1	1.0	0	1	2.0	0	11	0	False	
1	21	7	57	1668	4867	150.60630050348115	0	1.0	1701.8130080541596	0.0			0	1.0	1	0	1.0	0	3	0	False	
1	22	8	43	1668	4867	154.71952427434735	1	1.0	2722.164460006752	1.0	798.0		0	0.0	1	1	2.0	0	3	0	False	
1	24	5	18	1668	4867	161.71567045873962	1	1.0	1632.3106290074063	1.0	1286.0	2085.0	0	0.0	1	1	2.0	0	3	0	False	
